cod_ibge,nome_municipio,drs,rgi_codigo,rgi_nome,lat,lon
3524808,Jales,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.28580474318891,-50.55412379846753
3524907,Jambeiro,XVII - Taubaté,3511,São José dos Campos,-23.279295843195857,-45.71062928806455
3525003,Jandira,I - Grande São Paulo,3501,São Paulo,-23.54406014419664,-46.899733434361046
3525102,Jardinópolis,XIII - Ribeirão Preto,3508,Ribeirão Preto,-20.99193095509817,-47.82608427716853
3525201,Jarinu,VII - Campinas,3510,Campinas,-23.111985709768838,-46.72135878070162
3525300,Jaú,VI - Bauru,3503,Bauru,-22.29607040719417,-48.55593549230614
3525409,Jeriquara,VIII - Franca,3508,Ribeirão Preto,-20.34016084608723,-47.57411170840371
3525508,Joanópolis,VII - Campinas,3510,Campinas,-22.938819240894016,-46.209219528745784
3525607,João Ramalho,XI - Presidente Prudente,3505,Presidente Prudente,-22.27799876925457,-50.79914678655298
3525706,José Bonifácio,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.089451541778995,-49.779404172460794
3525805,Júlio Mesquita,IX - Marília,3504,Marília,-21.972940453854786,-49.793293375459896
3525854,Jumirim,XVI - Sorocaba,3502,Sorocaba,-23.099602327806053,-47.78811173578995
3525904,Jundiaí,VII - Campinas,3510,Campinas,-23.194623326470122,-46.9130257690727
3526001,Junqueirópolis,XI - Presidente Prudente,3505,Presidente Prudente,-21.448947096191397,-51.43502135838444
3526100,Juquiá,XII - Registro,3502,Sorocaba,-24.213593289887633,-47.65226539417779
3526209,Juquitiba,I - Grande São Paulo,3501,São Paulo,-23.955190181207406,-47.024644817366664
3526308,Lagoinha,XVII - Taubaté,3511,São José dos Campos,-23.08578400577375,-45.206812813117025
3526407,Laranjal Paulista,VI - Bauru,3510,Campinas,-23.012230441950372,-47.865661709036736
3526506,Lavínia,II - Araçatuba,3506,Araçatuba,-21.150818056236854,-51.03266035541414
3526605,Lavrinhas,XVII - Taubaté,3511,São José dos Campos,-22.520309508941878,-44.888811754037214
3526704,Leme,X - Piracicaba,3510,Campinas,-22.17211822617043,-47.337580482910326
